Timestamp,P_PV_kW,P_EV_kW
2025-01-01 00:00:00,0,0.00
2025-01-01 00:15:00,0,0.00
2025-01-01 00:30:00,0,0.00
2025-01-01 00:45:00,0,651.55
2025-01-01 01:00:00,0,479.62
2025-01-01 01:15:00,0,219.11
2025-01-01 01:30:00,0,1076.00
2025-01-01 01:45:00,0,672.10
2025-01-01 02:00:00,0,196.36
2025-01-01 02:15:00,0,345.90
2025-01-01 02:30:00,0,345.90
2025-01-01 02:45:00,0,0.00
2025-01-01 03:00:00,0,906.00
2025-01-01 03:15:00,0,753.05
2025-01-01 03:30:00,0,679.37
2025-01-01 03:45:00,0,679.37
2025-01-01 04:00:00,0,127.13
2025-01-01 04:15:00,0,324.18
2025-01-01 04:30:00,0,316.87
2025-01-01 04:45:00,0,50.00
2025-01-01 05:00:00,0,1031.00
2025-01-01 05:15:00,0,1633.16
2025-01-01 05:30:00,0,1777.33
2025-01-01 05:45:00,0,1990.33
2025-01-01 06:00:00,0,1859.00
2025-01-01 06:15:00,75.7,2010.37
2025-01-01 06:30:00,151.4,2003.18
2025-01-01 06:45:00,227.1,1963.68
2025-01-01 07:00:00,302.8,1459.51
2025-01-01 07:15:00,555.65,1447.25
2025-01-01 07:30:00,808.5,1529.96
2025-01-01 07:45:00,1061.35,1619.61
2025-01-01 08:00:00,1314.2,418.00
2025-01-01 08:15:00,1524.2875,732.14
2025-01-01 08:30:00,1734.375,529.48
2025-01-01 08:45:00,1944.4625,300.50
2025-01-01 09:00:00,2154.55,940.46
2025-01-01 09:15:00,2359.8875,497.35
2025-01-01 09:30:00,2565.225,846.57
2025-01-01 09:45:00,2770.5625,651.65
2025-01-01 10:00:00,2975.9,301.77
2025-01-01 10:15:00,3022.8125,520.43
2025-01-01 10:30:00,3069.725,425.00
2025-01-01 10:45:00,3116.6375,306.81
2025-01-01 11:00:00,3163.55,323.13
2025-01-01 11:15:00,3230.3625,584.71
2025-01-01 11:30:00,3297.175,342.63
2025-01-01 11:45:00,3363.9875,611.35
2025-01-01 12:00:00,3430.8,894.10
2025-01-01 12:15:00,3384.7625,1130.51
2025-01-01 12:30:00,3338.725,1088.64
2025-01-01 12:45:00,3292.6875,1279.01
2025-01-01 13:00:00,3246.65,747.17
2025-01-01 13:15:00,3176,605.31
2025-01-01 13:30:00,3105.35,829.57
2025-01-01 13:45:00,3034.7,648.25
2025-01-01 14:00:00,2964.05,191.94
2025-01-01 14:15:00,2780.9625,333.47
2025-01-01 14:30:00,2597.875,323.95
2025-01-01 14:45:00,2414.7875,293.79
2025-01-01 15:00:00,2231.7,293.79
2025-01-01 15:15:00,1920.75,253.10
2025-01-01 15:30:00,1609.8,135.07
2025-01-01 15:45:00,1298.85,0.00
2025-01-01 16:00:00,987.9,0.00
2025-01-01 16:15:00,861.85,288.39
2025-01-01 16:30:00,735.8,288.39
2025-01-01 16:45:00,609.75,249.41
2025-01-01 17:00:00,483.7,583.31
2025-01-01 17:15:00,362.7875,1275.33
2025-01-01 17:30:00,241.875,698.41
2025-01-01 17:45:00,120.9625,1185.07
2025-01-01 18:00:00,0.05,1393.14
2025-01-01 18:15:00,0.0375,1149.39
2025-01-01 18:30:00,0.025,1248.17
2025-01-01 18:45:00,0.0125,1432.44
2025-01-01 19:00:00,0,1708.98
2025-01-01 19:15:00,0,2024.11
2025-01-01 19:30:00,0,1954.40
2025-01-01 19:45:00,0,2173.04
2025-01-01 20:00:00,0,1193.15
2025-01-01 20:15:00,0,1416.63
2025-01-01 20:30:00,0,2198.95
2025-01-01 20:45:00,0,2000.35
2025-01-01 21:00:00,0,1363.05
2025-01-01 21:15:00,0,2238.17
2025-01-01 21:30:00,0,2370.29
2025-01-01 21:45:00,0,2284.81
2025-01-01 22:00:00,0,2289.18
2025-01-01 22:15:00,0,1935.25
2025-01-01 22:30:00,0,2298.42
2025-01-01 22:45:00,0,2479.47
2025-01-01 23:00:00,0,2124.19
2025-01-01 23:15:00,0,1747.89
2025-01-01 23:30:00,0,928.17
2025-01-01 23:45:00,0,348.39
2025-01-02 00:00:00,0,0.00
2025-01-02 00:15:00,0,0.00
2025-01-02 00:30:00,0,470.98
2025-01-02 00:45:00,0,341.09
2025-01-02 01:00:00,0,984.12
2025-01-02 01:15:00,0,934.12
2025-01-02 01:30:00,0,972.25
2025-01-02 01:45:00,0,591.87
2025-01-02 02:00:00,0,303.86
2025-01-02 02:15:00,0,0.00
2025-01-02 02:30:00,0,381.27
2025-01-02 02:45:00,0,381.27
2025-01-02 03:00:00,0,0.00
2025-01-02 03:15:00,0,229.47
2025-01-02 03:30:00,0,570.58
2025-01-02 03:45:00,0,432.79
2025-01-02 04:00:00,0,908.60
2025-01-02 04:15:00,0,611.73
2025-01-02 04:30:00,0,757.64
2025-01-02 04:45:00,0,422.09
2025-01-02 05:00:00,0,628.83
2025-01-02 05:15:00,0,1741.37
2025-01-02 05:30:00,0,1976.45
2025-01-02 05:45:00,0,1972.91
2025-01-02 06:00:00,0,1467.11
2025-01-02 06:15:00,78.2375,1537.92
2025-01-02 06:30:00,156.475,1364.66
2025-01-02 06:45:00,234.7125,1786.04
2025-01-02 07:00:00,312.95,1454.36
2025-01-02 07:15:00,574.0875,2007.62
2025-01-02 07:30:00,835.225,1181.25
2025-01-02 07:45:00,1096.3625,1155.18
2025-01-02 08:00:00,1357.5,1083.94
2025-01-02 08:15:00,1583.8625,668.40
2025-01-02 08:30:00,1810.225,964.09
2025-01-02 08:45:00,2036.5875,1186.47
2025-01-02 09:00:00,2262.95,1182.18
2025-01-02 09:15:00,2436.2625,1112.93
2025-01-02 09:30:00,2609.575,196.81
2025-01-02 09:45:00,2782.8875,50.00
2025-01-02 10:00:00,2956.2,0.00
2025-01-02 10:15:00,3095.55,286.41
2025-01-02 10:30:00,3234.9,330.02
2025-01-02 10:45:00,3374.25,906.43
2025-01-02 11:00:00,3513.6,799.99
2025-01-02 11:15:00,3546.3625,516.04
2025-01-02 11:30:00,3579.125,650.41
2025-01-02 11:45:00,3611.8875,483.95
2025-01-02 12:00:00,3644.65,385.27
2025-01-02 12:15:00,3555.2125,1091.33
2025-01-02 12:30:00,3465.775,1063.25
2025-01-02 12:45:00,3376.3375,914.10
2025-01-02 13:00:00,3286.9,662.32
