P_PV_kW,P_EV_kW
0,0.00
0,0.00
0,0.00
0,651.55
0,479.62
0,219.11
0,1076.00
0,672.10
0,196.36
0,345.90
0,345.90
0,0.00
0,906.00
0,753.05
0,679.37
0,679.37
0,127.13
0,324.18
0,316.87
0,50.00
0,1031.00
0,1633.16
0,1777.33
0,1990.33
0,1859.00
75.7,2010.37
151.4,2003.18
227.1,1963.68
302.8,1459.51
555.65,1447.25
808.5,1529.96
1061.35,1619.61
1314.2,418.00
1524.2875,732.14
1734.375,529.48
1944.4625,300.50
2154.55,940.46
2359.8875,497.35
2565.225,846.57
2770.5625,651.65
2975.9,301.77
3022.8125,520.43
3069.725,425.00
3116.6375,306.81
3163.55,323.13
3230.3625,584.71
3297.175,342.63
3363.9875,611.35
3430.8,894.10
3384.7625,1130.51
3338.725,1088.64
3292.6875,1279.01
3246.65,747.17
3176,605.31
3105.35,829.57
3034.7,648.25
2964.05,191.94
2780.9625,333.47
2597.875,323.95
2414.7875,293.79
2231.7,293.79
1920.75,253.10
1609.8,135.07
1298.85,0.00
987.9,0.00
861.85,288.39
735.8,288.39
609.75,249.41
483.7,583.31
362.7875,1275.33
241.875,698.41
120.9625,1185.07
0.05,1393.14
0.0375,1149.39
0.025,1248.17
0.0125,1432.44
0,1708.98
0,2024.11
0,1954.40
0,2173.04
0,1193.15
0,1416.63
0,2198.95
0,2000.35
0,1363.05
0,2238.17
0,2370.29
0,2284.81
0,2289.18
0,1935.25
0,2298.42
0,2479.47
0,2124.19
0,1747.89
0,928.17
0,348.39
0,0.00
0,0.00
0,470.98
0,341.09
0,984.12
0,934.12
0,972.25
0,591.87
0,303.86
0,0.00
0,381.27
0,381.27
0,0.00
0,229.47
0,570.58
0,432.79
0,908.60
0,611.73
0,757.64
0,422.09
0,628.83
0,1741.37
0,1976.45
0,1972.91
0,1467.11
78.2375,1537.92
156.475,1364.66
234.7125,1786.04
312.95,1454.36
574.0875,2007.62
835.225,1181.25
1096.3625,1155.18
1357.5,1083.94
1583.8625,668.40
1810.225,964.09
2036.5875,1186.47
2262.95,1182.18
2436.2625,1112.93
2609.575,196.81
2782.8875,50.00
2956.2,0.00
3095.55,286.41
3234.9,330.02
3374.25,906.43
3513.6,799.99
3546.3625,516.04
3579.125,650.41
3611.8875,483.95
3644.65,385.27
3555.2125,1091.33
3465.775,1063.25
3376.3375,914.10
3286.9,662.32
3195.9125,442.06
3104.925,746.27
3013.9375,780.41
2922.95,789.34
2716.6,326.56
2510.25,1227.61
2303.9,806.63
2097.55,298.49
1807.6,653.93
1517.65,439.51
1227.7,20.74
937.75,212.03
747.7375,212.03
557.725,384.18
367.7125,384.18
177.7,196.41
133.7125,196.41
89.725,208.00
45.7375,861.09
1.75,1247.44
